epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.395,1.59517,2.83813,1.62575,1.47859,0.78606,0.70418,0.79354,0.53647,0.78445,0.70274,0.78034,0.54475,1.06944,1.58833,1.1231,1.25699,0.000665972,0.000665972,0.000665972
2,760.178,1.64652,2.83501,1.46235,1.52394,0.77268,0.77056,0.81526,0.63854,0.77123,0.76912,0.80914,0.62736,0.87667,1.48753,0.97086,1.16489,0.00132384,0.00132384,0.00132384
3,1135.42,1.62736,2.78104,1.40056,1.53621,0.7948,0.78788,0.82366,0.60847,0.79771,0.79076,0.81997,0.63198,0.95246,1.38322,0.98787,1.18154,0.00197291,0.00197291,0.00197291
4,1503.57,1.57316,2.66472,1.2975,1.47455,0.83551,0.83559,0.87416,0.69788,0.83519,0.84096,0.87211,0.72119,0.77999,1.1259,0.79895,1.07026,0.0019604,0.0019604,0.0019604
5,1869.76,1.55825,2.6722,1.24698,1.48105,0.81198,0.84416,0.85471,0.67877,0.81512,0.84704,0.85266,0.67385,0.77026,1.2954,0.80568,1.09151,0.0019472,0.0019472,0.0019472
6,2247.25,1.51546,2.59909,1.22237,1.4535,0.80439,0.83117,0.87045,0.67874,0.80858,0.8355,0.87166,0.69345,0.77898,1.11928,0.78932,1.0964,0.001934,0.001934,0.001934
7,2626.97,1.4926,2.53918,1.18514,1.43862,0.8109,0.84154,0.86981,0.68536,0.81599,0.84464,0.86824,0.69327,0.77664,1.16885,0.7509,1.09737,0.0019208,0.0019208,0.0019208
8,3000.09,1.45334,2.49598,1.1541,1.41322,0.84649,0.8759,0.89834,0.73175,0.85029,0.87692,0.88839,0.73827,0.70683,1.08852,0.70454,1.04392,0.0019076,0.0019076,0.0019076
9,3365.79,1.42191,2.45444,1.21599,1.39632,0.83095,0.88745,0.89834,0.7505,0.83938,0.88167,0.89522,0.73384,0.65615,1.04286,0.70678,1.04086,0.0018944,0.0018944,0.0018944
10,3734.55,1.42677,2.46624,1.14284,1.40106,0.82417,0.87734,0.86746,0.70599,0.83753,0.87302,0.86751,0.71541,0.71999,1.07837,0.70697,1.0546,0.0018812,0.0018812,0.0018812
11,4095.44,1.41098,2.42845,1.10209,1.37927,0.8521,0.8729,0.90181,0.74851,0.84646,0.86713,0.89533,0.75932,0.65819,1.05524,0.66569,1.01485,0.001868,0.001868,0.001868
12,4458.74,1.38773,2.38799,1.06522,1.36834,0.87318,0.86441,0.89876,0.74106,0.87805,0.86724,0.89904,0.74886,0.67576,1.01777,0.69729,1.01541,0.0018548,0.0018548,0.0018548
13,4817.15,1.35297,2.33422,1.01238,1.34659,0.82878,0.87302,0.89742,0.72958,0.83152,0.8759,0.89206,0.72845,0.69636,1.08417,0.6964,1.03209,0.0018416,0.0018416,0.0018416
14,5174.48,1.36449,2.35159,1.04508,1.36016,0.84112,0.87089,0.88661,0.72762,0.84628,0.87386,0.88468,0.7461,0.67227,1.04289,0.68842,1.00444,0.0018284,0.0018284,0.0018284
15,5543.76,1.32659,2.33015,1.02736,1.33307,0.84661,0.8961,0.90785,0.76867,0.85303,0.886,0.90035,0.75965,0.61556,0.94173,0.61761,0.98017,0.0018152,0.0018152,0.0018152
16,5910.63,1.32149,2.27839,1.03887,1.33445,0.84433,0.89224,0.90624,0.76371,0.85427,0.89177,0.90483,0.75777,0.63408,0.91056,0.63516,0.97996,0.001802,0.001802,0.001802
17,6276.97,1.34849,2.32293,1.01515,1.33427,0.81707,0.89177,0.89497,0.77023,0.81254,0.9062,0.89379,0.7447,0.59161,0.93637,0.62494,1.01439,0.0017888,0.0017888,0.0017888
18,6638.06,1.31546,2.2776,0.98731,1.33785,0.85867,0.89466,0.91862,0.78974,0.85816,0.89922,0.91712,0.79426,0.5577,0.88929,0.58642,0.95496,0.0017756,0.0017756,0.0017756
19,7004.02,1.29048,2.27319,1.00374,1.31731,0.84954,0.90441,0.90413,0.77868,0.86785,0.87446,0.89966,0.78672,0.57368,0.92286,0.59228,0.95819,0.0017624,0.0017624,0.0017624
20,7371.63,1.29853,2.23849,1.0321,1.32511,0.86069,0.89149,0.90603,0.78376,0.85776,0.90188,0.90333,0.7679,0.56897,0.9542,0.57289,0.97656,0.0017492,0.0017492,0.0017492
21,7736.13,1.27975,2.1987,0.95094,1.31165,0.84828,0.8875,0.90797,0.7826,0.85242,0.89183,0.9054,0.78497,0.592,0.89536,0.57759,0.98561,0.001736,0.001736,0.001736
22,8105.56,1.25461,2.1934,0.9454,1.29556,0.83845,0.91369,0.90767,0.79008,0.84827,0.91053,0.9059,0.78124,0.56227,0.90343,0.63108,0.96524,0.0017228,0.0017228,0.0017228
23,8470.57,1.25562,2.19133,0.94118,1.30202,0.84048,0.91235,0.91812,0.80453,0.85303,0.91293,0.91622,0.78828,0.5368,0.87394,0.54844,0.95556,0.0017096,0.0017096,0.0017096
24,8838.84,1.25187,2.18635,0.93344,1.29283,0.82539,0.93651,0.91994,0.80292,0.86259,0.89899,0.91651,0.77634,0.55303,0.88692,0.54842,0.96713,0.0016964,0.0016964,0.0016964
25,9210.33,1.26982,2.19601,0.95163,1.29492,0.84994,0.89907,0.92063,0.80962,0.84983,0.91053,0.92251,0.79353,0.53459,0.89554,0.5439,0.95808,0.0016832,0.0016832,0.0016832
26,9577.17,1.25097,2.18668,0.97538,1.28402,0.84878,0.90909,0.91328,0.79515,0.85148,0.91198,0.91263,0.78848,0.55479,0.82078,0.55847,0.95927,0.00167,0.00167,0.00167
27,9947.92,1.24828,2.17778,0.89617,1.27839,0.84668,0.90044,0.92375,0.80612,0.85473,0.90043,0.92172,0.80783,0.53686,0.89484,0.53514,0.94699,0.0016568,0.0016568,0.0016568
28,10318.8,1.22715,2.12402,0.94885,1.27264,0.84046,0.91486,0.91714,0.7944,0.84444,0.91919,0.91597,0.77286,0.55089,0.88114,0.56443,0.96496,0.0016436,0.0016436,0.0016436
29,10690.9,1.19285,2.08325,0.89864,1.25366,0.84728,0.92866,0.93214,0.82673,0.87442,0.90909,0.93287,0.83578,0.51437,0.85962,0.51075,0.93879,0.0016304,0.0016304,0.0016304
30,11061.8,1.21365,2.11755,0.89485,1.25718,0.82891,0.94383,0.92262,0.81815,0.84023,0.9334,0.92323,0.81224,0.51299,0.84708,0.51743,0.94335,0.0016172,0.0016172,0.0016172
31,11420.9,1.20697,2.08653,0.89126,1.25134,0.88437,0.88023,0.9129,0.80054,0.8841,0.88456,0.91135,0.77223,0.53249,0.92603,0.54828,0.94471,0.001604,0.001604,0.001604
32,11782.3,1.1936,2.10901,0.88842,1.25069,0.85847,0.90909,0.91906,0.81075,0.8674,0.91486,0.92092,0.7927,0.50285,0.85198,0.54469,0.93903,0.0015908,0.0015908,0.0015908
33,12146.7,1.20409,2.09571,0.8998,1.24919,0.84264,0.92929,0.91734,0.80898,0.84637,0.92213,0.91571,0.7986,0.51876,0.8527,0.5523,0.93909,0.0015776,0.0015776,0.0015776
34,12512.8,1.16479,2.0488,0.85706,1.23356,0.85978,0.91631,0.93036,0.82786,0.86056,0.91486,0.92764,0.81741,0.4976,0.82934,0.52589,0.9447,0.0015644,0.0015644,0.0015644
35,12876.8,1.16809,2.0308,0.87705,1.23566,0.86877,0.9171,0.92499,0.82683,0.87211,0.91919,0.92537,0.82067,0.49145,0.83371,0.50292,0.93645,0.0015512,0.0015512,0.0015512
36,13258.6,1.17417,2.05267,0.8618,1.23968,0.8613,0.92297,0.92452,0.8183,0.85833,0.92785,0.92615,0.82027,0.49131,0.82807,0.53107,0.92596,0.001538,0.001538,0.001538
